iter	Passed	Remaining
0	0	968
1	1	894
2	2	871
3	3	880
4	4	867
5	5	907
6	6	891
7	7	927
8	8	936
9	9	937
10	10	933
11	11	940
12	12	957
13	14	997
14	15	989
15	15	974
16	16	968
17	17	953
18	18	953
19	19	970
20	20	970
21	21	969
22	22	956
23	23	945
24	24	940
25	25	944
26	26	943
27	26	936
28	27	930
29	28	921
30	29	913
31	30	916
32	31	917
33	32	917
34	33	911
35	33	905
36	34	902
37	35	900
38	36	894
39	37	898
40	38	898
41	39	894
42	40	891
43	40	885
44	41	883
45	42	882
46	84	1720
47	86	1707
48	87	1690
49	87	1671
50	88	1653
51	91	1663
52	98	1755
53	100	1757
54	101	1750
55	106	1794
56	107	1781
57	134	2189
58	135	2162
59	149	2342
60	150	2316
61	151	2289
62	152	2262
63	152	2236
64	153	2211
65	154	2187
66	155	2169
67	162	2226
68	163	2207
69	164	2184
70	165	2163
71	166	2142
72	167	2120
73	167	2100
74	168	2081
75	195	2380
76	199	2392
77	203	2402
78	205	2397
79	206	2375
80	207	2358
81	209	2343
82	210	2324
83	211	2304
84	212	2287
85	213	2268
86	214	2248
87	215	2232
88	216	2215
89	223	2255
90	224	2238
91	224	2219
92	259	2527
93	259	2505
94	260	2484
95	261	2464
96	262	2444
97	268	2472
98	271	2468
99	272	2448
100	273	2430
101	273	2411
102	274	2392
103	276	2378
104	277	2362
105	278	2347
106	281	2347
107	284	2350
108	285	2334
109	286	2318
110	287	2303
111	288	2287
112	289	2270
113	290	2255
114	291	2241
115	292	2226
116	294	2224
117	296	2214
118	297	2204
119	299	2194
120	302	2194
121	303	2184
122	304	2172
123	305	2158
124	306	2144
125	311	2160
126	312	2150
127	313	2137
128	315	2127
129	316	2120
130	317	2107
131	318	2094
132	319	2082
133	320	2070
134	321	2061
135	324	2060
136	325	2053
137	326	2042
138	328	2032
139	329	2022
140	330	2012
141	331	2004
142	332	1995
143	333	1984
144	335	1976
145	335	1964
146	336	1955
147	337	1945
148	339	1938
149	340	1929
150	341	1921
151	342	1911
152	343	1902
153	344	1892
154	345	1883
155	346	1873
156	347	1865
157	350	1867
158	351	1859
159	352	1849
160	353	1840
161	353	1830
162	354	1821
163	356	1817
164	357	1808
165	359	1806
166	360	1798
167	361	1791
168	363	1787
169	364	1779
170	365	1772
171	367	1770
172	368	1763
173	373	1774
174	374	1767
175	375	1760
176	377	1753
177	378	1746
178	379	1739
179	382	1744
180	384	1738
181	385	1731
182	388	1734
183	389	1726
184	391	1723
185	392	1718
186	394	1716
187	395	1708
188	396	1701
189	398	1699
190	399	1692
191	402	1694
192	404	1692
193	407	1692
194	408	1686
195	409	1679
196	411	1676
197	414	1677
198	418	1683
199	419	1679
200	421	1674
201	423	1672
202	424	1666
203	426	1665
204	427	1659
205	429	1653
206	430	1649
207	431	1643
208	432	1635
209	433	1629
210	435	1628
211	436	1622
212	437	1615
213	438	1609
214	438	1602
215	439	1596
216	440	1589
217	441	1582
218	442	1576
219	442	1570
220	443	1564
221	448	1573
222	449	1566
223	450	1560
224	451	1554
225	452	1548
226	452	1542
227	453	1536
228	454	1530
229	456	1527
230	457	1521
231	459	1519
232	460	1515
233	461	1510
234	462	1505
235	463	1500
236	464	1494
237	465	1490
238	466	1485
239	467	1480
240	468	1475
241	469	1469
242	471	1467
243	473	1466
244	475	1463
245	476	1460
246	477	1455
247	478	1449
248	479	1445
249	480	1440
250	483	1443
251	484	1439
252	485	1433
253	489	1436
254	490	1432
255	491	1428
256	492	1423
257	493	1419
258	497	1424
259	499	1420
260	500	1417
261	504	1421
262	505	1416
263	506	1411
264	507	1406
265	508	1402
266	509	1397
267	511	1396
268	512	1391
269	514	1392
270	518	1393
271	519	1389
272	520	1385
273	521	1381
274	522	1376
275	523	1372
276	524	1369
277	525	1365
278	526	1360
279	527	1356
280	528	1352
281	534	1360
282	535	1356
283	536	1352
284	537	1347
285	538	1343
286	538	1338
287	539	1334
288	540	1330
289	541	1326
290	542	1321
291	543	1318
292	544	1314
293	545	1310
294	546	1306
295	547	1302
296	548	1298
297	551	1299
298	553	1296
299	554	1293
300	555	1289
301	559	1293
302	560	1289
303	561	1285
304	562	1281
305	563	1277
306	564	1273
307	565	1269
308	565	1265
309	566	1261
310	567	1257
311	568	1253
312	569	1249
313	571	1248
314	573	1246
315	574	1242
316	577	1244
317	578	1240
318	579	1236
319	580	1233
320	582	1232
321	586	1235
322	587	1231
323	588	1227
324	589	1223
325	590	1220
326	591	1217
327	594	1217
328	596	1215
329	596	1212
330	597	1208
331	599	1205
332	600	1202
333	601	1198
334	601	1195
335	603	1192
336	604	1188
337	605	1185
338	605	1181
339	606	1178
340	607	1174
341	608	1170
342	609	1167
343	610	1163
344	611	1160
345	612	1157
346	613	1154
347	614	1151
348	615	1147
349	616	1144
350	616	1140
351	617	1137
352	618	1133
353	619	1130
354	620	1126
355	621	1123
356	621	1120
357	622	1116
358	623	1113
359	624	1109
360	625	1106
361	626	1103
362	627	1100
363	627	1097
364	628	1093
365	629	1090
366	632	1090
367	633	1087
368	634	1085
369	635	1082
370	636	1079
371	637	1076
372	638	1073
373	642	1075
374	643	1072
375	644	1070
376	645	1066
377	646	1063
378	647	1060
379	647	1057
380	649	1054
381	649	1051
382	650	1048
383	651	1045
384	652	1042
385	653	1039
386	654	1036
387	655	1033
388	656	1030
389	657	1027
390	657	1024
391	658	1021
392	659	1018
393	660	1015
394	661	1012
395	661	1009
396	662	1006
397	663	1003
398	664	1000
399	664	997
400	665	994
401	666	991
402	668	990
403	670	988
404	670	985
405	671	982
406	672	979
407	673	976
408	674	974
409	674	971
410	675	968
411	676	965
412	677	962
413	678	959
414	678	956
415	679	954
416	680	951
417	681	948
418	682	946
419	683	943
420	683	940
421	684	938
422	685	935
423	687	933
424	688	930
425	688	928
426	689	925
427	690	922
428	691	920
429	692	917
430	692	914
431	693	912
432	694	909
433	698	911
434	699	908
435	700	905
436	701	903
437	702	900
438	702	898
439	703	895
440	704	892
441	705	890
442	706	887
443	707	885
444	708	883
445	709	881
446	710	879
447	711	876
448	712	874
449	713	871
450	713	869
451	714	866
452	717	865
453	718	863
454	719	861
455	720	859
456	721	857
457	722	854
458	723	852
459	724	850
460	726	848
461	726	846
462	727	844
463	728	841
464	730	840
465	731	838
466	732	836
467	734	834
468	734	832
469	736	830
470	737	828
471	738	826
472	739	824
473	740	821
474	741	819
475	742	817
476	743	815
477	744	812
478	745	810
479	746	808
480	747	806
481	748	804
482	749	802
483	750	800
484	752	799
485	753	797
486	754	795
487	755	792
488	756	790
489	757	787
490	757	785
491	758	783
492	759	781
493	760	779
494	761	777
495	762	775
496	763	772
497	764	770
498	765	768
499	766	766
500	767	764
501	768	761
502	768	759
503	769	757
504	770	755
505	771	752
506	771	750
507	772	748
508	773	745
509	774	743
510	774	741
511	776	739
512	777	737
513	777	735
514	778	733
515	779	731
516	780	728
517	781	726
518	781	724
519	782	722
520	783	720
521	784	718
522	785	716
523	785	713
524	786	711
525	787	709
526	788	707
527	789	705
528	790	703
529	791	701
530	792	699
531	793	697
532	794	695
533	794	693
534	795	691
535	796	689
